Beach Name,Month,Year,tavg,tmin,tmax,prcp,wdir,wspd,pres,Footfall,Wave Height (m),Ocean Currents (m/s),Swell Height (m),Storm Surge,Tsunami Alerts,Humidity (%),UV Index
Agonda Beach,Jan,2022.0,0.6519916142557651,0.4855643044619423,0.7228017883755591,5.96884264141183e-05,0.5215334909902408,0.2955508474576271,0.7712912087912116,0.7272727272727273,0.07647058823529412,0.11764705882352944,0.45333333333333337,0.0,1.0,0.655428571428571,0.4871428571428571
Agonda Beach,Feb,2022.0,0.7106918238993711,0.47572178477690275,0.757078986587183,0.0,0.7168837224794324,0.2764830508474576,0.67719780219781,0.6363636363636362,0.48235294117647065,0.26470588235294124,0.18666666666666662,0.0,0.0,0.25171428571428556,0.69
Agonda Beach,Mar,2022.0,0.8294898672257163,0.7526246719160102,0.8628912071535022,0.0010942878175921689,0.548412883456017,0.2178672316384181,0.5776098901098976,0.3636363636363637,0.11176470588235299,1.0,0.54,1.0,0.0,0.2734285714285709,0.6171428571428572
Agonda Beach,Apr,2022.0,1.0,0.8431758530183725,0.9150521609538003,0.0168520323909194,0.8568430869666588,0.23587570621468928,0.5350274725274744,0.27272727272727276,0.5647058823529413,0.4705882352941177,0.74,1.0,0.0,0.5522857142857143,0.40142857142857136
Agonda Beach,May,2022.0,0.9461914744933613,0.8871391076115483,0.8375558867362147,0.08658801058474762,0.9287213136595275,0.4424435028248588,0.3935439560439562,0.27272727272727276,0.15294117647058825,0.4485294117647059,0.45333333333333337,0.0,0.0,0.1971428571428573,0.29714285714285715
Agonda Beach,Jun,2022.0,0.7323549965059399,0.7513123359580051,0.5752608047690013,0.632697319989654,0.7446957332711587,0.26694915254237284,0.4299450549450654,0.09090909090909088,0.4647058823529412,0.19117647058823534,0.04000000000000001,0.0,1.0,0.09485714285714253,0.4671428571428571
Agonda Beach,Jul,2022.0,0.6568832983927324,0.7191601049868764,0.4679582712369599,0.7881458785141561,0.8979116011058187,0.46292372881355937,0.461538461538467,0.09090909090909088,0.1823529411764706,0.6029411764705883,0.09333333333333335,0.0,0.0,0.365142857142857,0.3871428571428571
Agonda Beach,Aug,2022.0,0.6408106219426974,0.7152230971128609,0.45752608047690035,0.34593422335409163,0.8814908570096259,0.4932909604519774,0.4526098901098976,0.09090909090909088,0.2705882352941177,0.058823529411764726,0.5066666666666666,0.0,0.0,0.5097142857142856,0.1785714285714286
Agonda Beach,Sep,2022.0,0.687631027253669,0.6883202099737532,0.5238450074515648,0.20791468534251206,0.7865636345468474,0.3319209039548022,0.5473901098901166,0.18181818181818182,0.6470588235294119,0.6691176470588236,0.006666666666666654,0.0,1.0,0.2514285714285711,0.23285714285714287
Agonda Beach,Oct,2022.0,0.7155835080363384,0.6561679790026246,0.6020864381520119,0.07067109687431607,0.40035972421143795,0.22139830508474578,0.640796703296715,0.3636363636363637,0.858823529411765,0.6691176470588236,0.33999999999999997,0.0,1.0,0.3471428571428572,0.3571428571428571
Agonda Beach,Nov,2022.0,0.8385744234800838,0.573490813648294,0.8107302533532041,0.012932492389725632,0.15371548479499048,0.207274011299435,0.6950549450549488,0.8181818181818181,0.6176470588235295,0.6323529411764706,0.32666666666666666,0.0,1.0,0.5322857142857143,0.1757142857142857
Agonda Beach,Dec,2022.0,0.7980433263452134,0.4993438320209972,0.809239940387481,0.008157418276596167,0.07684108849881759,0.2365819209039548,0.6744505494505546,0.8181818181818181,0.6176470588235295,0.8676470588235294,0.9199999999999999,0.0,0.0,0.5982857142857141,0.4442857142857144
Agonda Beach,Jan,2023.0,0.7393431167016074,0.40288713910761154,0.7421758569299555,0.0,0.4619125337241448,0.45162429378531077,0.7987637362637372,0.7272727272727273,0.623529411764706,0.5147058823529413,0.4733333333333334,1.0,1.0,0.35285714285714254,0.27142857142857146
Agonda Beach,Feb,2023.0,0.8525506638714186,0.47637795275590544,0.9008941877794334,0.0,0.2769876428071812,0.4110169491525424,0.7424450549450512,0.6363636363636362,0.4058823529411766,0.11764705882352944,0.8799999999999999,0.0,0.0,0.5482857142857143,0.2785714285714286
Agonda Beach,Mar,2023.0,0.883997204751922,0.5531496062992124,0.906855439642325,0.0036608901533992555,0.6095326916031042,0.5346045197740112,0.6929945054945108,0.3636363636363637,0.1823529411764706,0.6470588235294119,0.31333333333333335,1.0,1.0,0.11257142857142832,0.38428571428571434
Agonda Beach,Apr,2023.0,0.9238294898672259,0.7782152230971126,0.8591654247391953,0.0007958456855215773,0.8709322852479765,0.4537429378531074,0.582417582417591,0.27272727272727276,0.4882352941176471,0.6764705882352942,0.7999999999999999,1.0,0.0,0.16571428571428548,0.38428571428571434
Agonda Beach,May,2023.0,0.9776380153738646,0.8805774278215223,0.8591654247391953,0.009749109647639321,0.9569996336142289,0.5420197740112994,0.588598901098905,0.27272727272727276,0.20588235294117652,0.27941176470588236,0.3666666666666667,0.0,0.0,0.5865714285714285,0.23857142857142855
Agonda Beach,Jun,2023.0,0.7959468902865128,0.7959317585301834,0.6535022354694489,0.5463480631105628,0.7521566798787596,0.47634180790960456,0.5130494505494596,0.09090909090909088,0.1823529411764706,0.0,0.6599999999999999,1.0,1.0,0.4551428571428573,0.5900000000000001
